revenue_feed_id,attribute_number,source_class_id,source_id,exclude_from_feed_boo,revenue_feed_src_attr_id,extraction_timestamp,date,history_date
-5,1,13,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,1,14,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,2,13,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,2,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,4,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,10,NULL,F,455,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,6,NULL,F,64,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,26,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,10,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,11,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,7,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,9,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,11,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,15,NULL,F,84,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,27,NULL,F,108,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,7,NULL,F,55,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,1,27,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,3,34,NULL,F,337,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,26,NULL,F,95,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,28,NULL,F,324,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,4,1,NULL,F,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,5,5,NULL,F,260,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,5,12,NULL,F,260,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,6,12,NULL,F,261,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,6,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,15,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,26,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,34,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,3,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,8,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,15,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,34,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,2,NULL,F,6,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,6,NULL,F,6,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,26,NULL,F,6,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,2,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,6,8,NULL,F,55,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,26,NULL,F,95,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,8,6,NULL,F,58,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,8,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,8,35,NULL,F,416,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,9,15,NULL,F,11,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,10,6,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,10,8,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,13,26,NULL,F,100,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,14,8,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,14,26,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,4,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,19,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,28,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,33,NULL,F,273,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,44,NULL,F,273,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,5,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,25,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,31,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,45,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,3,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,13,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,14,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,18,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,19,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,26,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,29,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,31,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,34,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,35,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,46,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,6,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,14,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,19,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,20,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,21,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,29,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,35,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,44,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,7,35,NULL,F,35,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,7,45,NULL,F,35,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,4,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,12,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,25,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,26,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,31,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,34,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,45,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,3,13,NULL,F,85,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,1,12,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,2,12,NULL,F,162,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,8,NULL,F,453,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,4,7,NULL,F,454,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,4,9,NULL,F,454,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,7,NULL,F,64,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,8,NULL,F,64,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,9,NULL,F,64,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,11,NULL,F,64,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,7,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,6,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,6,NULL,F,48,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,9,NULL,F,48,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,11,29,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,1,34,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,1,1,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,27,NULL,F,324,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,6,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,6,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,8,NULL,F,6,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,6,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,34,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,2,NULL,F,37,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,3,NULL,F,37,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,6,NULL,F,64,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,35,NULL,F,37,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,8,8,NULL,F,58,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,9,1,NULL,F,11,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,10,26,NULL,F,95,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,3,NULL,F,414,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,6,NULL,F,59,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,14,3,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,14,34,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,3,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,5,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,15,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,21,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,26,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,27,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,39,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,40,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,4,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,15,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,16,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,19,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,27,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,40,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,44,NULL,F,275,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,25,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,41,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,23,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,39,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,5,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,14,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,21,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,39,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,3,1,NULL,F,14,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,4,1,NULL,F,31,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,5,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,3,12,NULL,F,80,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,1,1,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,10,NULL,F,453,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,11,NULL,F,453,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,4,8,NULL,F,454,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,4,11,NULL,F,454,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,28,NULL,F,108,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,34,NULL,F,348,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,9,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,10,28,NULL,F,106,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,9,NULL,F,55,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,1,26,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,4,26,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,5,34,NULL,F,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,29,NULL,F,324,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,3,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,7,5,NULL,F,259,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,3,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,2,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,3,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,35,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,1,NULL,F,6,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,35,NULL,F,413,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,15,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,35,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,6,6,NULL,F,55,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,6,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,6,34,NULL,F,326,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,2,NULL,F,414,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,8,NULL,F,59,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,34,NULL,F,331,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,35,NULL,F,414,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,8,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,34,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,41,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,46,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,3,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,14,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,26,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,35,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,39,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,46,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,28,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,30,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,13,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,15,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
